Wavelength (nm),Power Meter Range (mW),Front Panel Bias,Bias (V),Command (V),Power (mW),Photons Per Pulse (#)
950,550,18.546019388483803,0.4399919179120113,0.1,0.5020697886323343,30014815.743196946
950,550,18.546019388483803,0.4399919179120113,0.24,0.5131383465832804,30676518.030334227
950,550,18.546019388483803,0.4399919179120113,0.22,0.34223981181470003,20459834.716577616
950,550,18.546019388483803,0.4399919179120113,0.13,0.6472892689327867,38696349.74948387
950,550,18.546019388483803,0.4399919179120113,0.11,0.36039224686033006,21545026.46784613
950,550,18.546019388483803,0.4399919179120113,0.09,0.3922696937627985,23450729.055025294
950,550,18.546019388483803,0.4399919179120113,0.18,0.4028955093894895,24085963.250305396
950,550,18.546019388483803,0.4399919179120113,0.06,0.40865115952088127,24430048.439431444
950,550,18.546019388483803,0.4399919179120113,0.01,0.3422398118308325,20459834.717542052
950,550,18.546019388483803,0.4399919179120113,0.14,0.4214906867428034,25197623.09244042
950,550,18.546019388483803,0.4399919179120113,0.08,0.4954286538588031,29617794.370737407
950,550,18.546019388483803,0.4399919179120113,0.07,0.37943016653766026,22683154.40182405
950,550,18.546019388483803,0.4399919179120113,0.12,0.4183914905182054,25012346.452141635
950,550,18.546019388483803,0.4399919179120113,0.04,0.170898534753431,10216683.312850945
950,550,18.546019388483803,0.4399919179120113,0.05,0.626923122309047,37478817.541510046
950,550,18.546019388483803,0.4399919179120113,0.21,0.361277731503393,21597962.651234824
950,550,18.546019388483803,0.4399919179120113,0.17,0.5543133821567574,33138050.538243223
950,550,18.546019388483803,0.4399919179120113,0.15,0.379872908861272,22709622.49364276
950,550,18.546019388483803,0.4399919179120113,0.25,0.2545768328643514,15219152.603714446
950,550,18.546019388483803,0.4399919179120113,0.16,0.4670931455064387,27923836.515788995
950,550,18.546019388483803,0.4399919179120113,0.0,0.37013257785471354,22127324.48038052
950,550,18.546019388483803,0.4399919179120113,0.2,0.46753588782614497,27950304.607374225
950,550,18.546019388483803,0.4399919179120113,0.03,0.49542865385474516,29617794.370494824
950,550,18.546019388483803,0.4399919179120113,0.19,0.37278903177232836,22286133.02985469
950,550,18.546019388483803,0.4399919179120113,0.23,0.45292539133269255,27076857.588460416
950,550,18.546019388483803,0.4399919179120113,0.02,0.5060544694869796,30253028.566106323
760,550,63.83149987425425,1.5145335011924415,0.02,2.4527924416867553,117306581.45207953
760,550,63.83149987425425,1.5145335011924415,0.24,1.3919818477903683,66572543.69853872
760,550,63.83149987425425,1.5145335011924415,0.18,1.0630243055229545,50839910.12122259
760,550,63.83149987425425,1.5145335011924415,0.17,0.9598653454352103,45906257.869047955
760,550,63.83149987425425,1.5145335011924415,0.04,0.854049931434279,40845558.77750574
760,550,63.83149987425425,1.5145335011924415,0.06,0.7291965977653814,34874357.339229025
760,550,63.83149987425425,1.5145335011924415,0.03,0.5405883702838002,25854031.761095166
760,550,63.83149987425425,1.5145335011924415,0.22,0.47904718807989455,22910779.988069
760,550,63.83149987425425,1.5145335011924415,0.05,0.5149093158431904,24625912.316435494
760,550,63.83149987425425,1.5145335011924415,0.0,0.4927721999393784,23567188.656924035
760,550,63.83149987425425,1.5145335011924415,0.12,0.48391735358701404,23143699.19355756
760,550,63.83149987425425,1.5145335011924415,0.14,0.49100123067551926,23482490.76456705
